Date,Close/Last,Volume,Open,High,Low
8/5/2025,90.20,6994419,89.65,90.56,89.31
8/4/2025,89.78,12500420,87.08,90.11,86.94
8/1/2025,86.86,16221310,88.39,88.50,85.49
7/31/2025,89.16,16565420,91.60,93.07,88.43
7/30/2025,92.76,44794730,97.83,98.89,90.07
7/29/2025,92.96,20923550,93.25,94.39,91.78
7/28/2025,93.67,10333590,94.93,95.74,93.46
7/25/2025,94.42,7224105,93.40,94.48,92.31
7/24/2025,93.70,7897596,95.50,95.58,93.42
7/23/2025,95.92,11275280,97.35,98.18,95.54
7/22/2025,96.94,9992365,92.95,97.16,92.85
7/21/2025,92.66,7217334,94.30,95.29,92.61
7/18/2025,93.80,5173102,94.04,94.46,93.25
7/17/2025,93.19,8588994,90.73,93.29,90.57
7/16/2025,92.51,7136905,92.66,93.28,91.56
7/15/2025,92.48,8567878,93.62,94.30,92.15
7/14/2025,93.42,6048282,93.68,93.96,92.27
7/11/2025,94.94,6339762,94.37,95.32,94.14
7/10/2025,95.15,6916235,94.88,95.74,93.55
7/9/2025,95.25,8322429,97.55,97.89,94.66
7/8/2025,94.94,6985665,94.06,95.75,93.78
7/7/2025,93.64,5311175,94.16,94.95,92.97
7/3/2025,94.44,3557273,94.20,94.65,93.76
7/2/2025,94.18,7942282,95.28,95.30,93.35
7/1/2025,94.92,9828404,91.54,95.86,91.54
6/30/2025,91.63,10083270,92.42,94.16,91.08
6/27/2025,92.11,21491640,91.77,92.72,90.33
6/26/2025,91.84,6571647,92.10,92.20,90.42
6/25/2025,91.10,6929643,91.76,92.00,90.62
6/24/2025,91.50,11373850,92.91,93.84,90.31
6/23/2025,92.34,7532996,93.20,93.21,90.74
6/20/2025,93.12,9197029,93.08,93.80,92.40
6/18/2025,92.28,7319258,91.88,92.58,91.23
6/17/2025,91.59,6183009,93.16,93.21,90.79
6/16/2025,93.48,5871048,93.98,94.43,92.94
6/13/2025,93.26,7119922,93.50,94.61,93.16
6/12/2025,94.32,7183303,94.68,95.07,93.97
6/11/2025,95.39,14835490,92.11,95.91,92.00
6/10/2025,91.43,6911110,89.90,91.89,89.53
6/9/2025,90.67,8097257,89.08,91.14,89.08
6/6/2025,89.64,8772872,88.40,89.89,88.24
6/5/2025,86.99,8479357,88.18,88.41,86.86
6/4/2025,88.11,8740890,86.63,88.54,86.02
6/3/2025,86.60,8287651,85.07,87.49,84.40
6/2/2025,85.19,8258866,83.28,85.30,83.19
5/30/2025,83.95,7394094,83.94,84.27,83.19
5/29/2025,84.05,10312550,84.90,85.70,83.70
5/28/2025,86.00,12328510,87.43,87.60,84.54
5/27/2025,87.01,10922300,85.43,87.09,85.22
5/23/2025,84.40,7088243,82.58,84.83,82.57
5/22/2025,83.97,8440409,83.22,84.48,82.72
5/21/2025,82.98,10875430,84.41,85.51,82.51
5/20/2025,85.59,9310599,84.52,86.15,84.45
5/19/2025,84.61,9568067,84.45,85.14,84.11
5/16/2025,85.57,13109490,86.62,86.91,84.28
5/15/2025,87.26,13721890,86.54,87.78,85.82
5/14/2025,86.54,12741550,86.71,87.63,85.74
5/13/2025,86.88,11533700,85.87,87.14,85.10
5/12/2025,85.67,17241550,83.65,86.54,83.64
5/9/2025,80.30,8210711,82.41,82.67,80.20
5/8/2025,82.19,8759817,83.34,83.60,81.69
5/7/2025,82.71,8227253,82.97,83.23,82.14
5/6/2025,82.78,10709520,81.00,83.37,80.61
5/5/2025,81.66,13361870,84.00,84.08,81.59
5/2/2025,84.69,13512930,82.59,84.83,82.05
5/1/2025,82.01,18326730,80.71,82.71,80.27
4/30/2025,80.05,41297030,76.37,80.28,75.50
4/29/2025,84.85,16356940,83.64,85.07,83.20
4/28/2025,83.90,7091355,84.33,85.06,83.27
4/25/2025,83.81,5799429,83.63,83.99,82.46
4/24/2025,83.86,6798096,82.39,84.14,81.58
4/23/2025,82.81,9114434,84.00,85.74,82.65
4/22/2025,81.75,10408580,81.91,83.49,81.62
4/21/2025,80.68,10595620,80.36,80.82,78.13
4/17/2025,81.50,9787506,81.25,82.55,81.20
4/16/2025,80.76,13080850,83.30,83.52,79.89
4/15/2025,83.71,7088577,85.50,86.06,83.46
4/14/2025,85.49,8880494,86.32,86.77,83.40
4/11/2025,85.43,10059730,84.43,85.82,82.08
4/10/2025,84.60,16209250,86.11,86.58,81.67
4/9/2025,88.68,26668100,79.23,89.13,77.93
4/8/2025,79.69,20534590,83.07,83.48,78.69
4/7/2025,80.00,26099350,78.63,83.27,76.15
4/4/2025,82.10,19700140,84.66,85.43,81.30
4/3/2025,88.26,20490060,93.35,93.39,87.65
4/2/2025,99.41,6043292,97.41,99.75,97.41
4/1/2025,98.23,5868429,97.85,98.90,97.13
